frame,object_name,yolo_confidence,depth_ft,used_vlm,output_text,latency_ms,direction
1566,potted plant,0.355,25.2,0,[FAST MODE - HIGH CONF],156.77,left
1567,potted plant,0.267,23.17,0,[FAST MODE - HIGH CONF],168.4,left
1568,bicycle,0.276,29.69,0,[FAST MODE - HIGH CONF],172.8,left
1569,potted plant,0.265,16.57,0,[FAST MODE - HIGH CONF],165.87,left
1570,potted plant,0.269,17.25,0,[FAST MODE - HIGH CONF],144.69,left
1571,potted plant,0.269,23.97,0,[FAST MODE - HIGH CONF],140.86,left
1572,person,0.255,26.06,0,[FAST MODE - HIGH CONF],148.95,left
1573,potted plant,0.253,26.38,0,[FAST MODE - HIGH CONF],154.9,left
1574,potted plant,0.273,25.13,0,[FAST MODE - HIGH CONF],142.01,left
1575,potted plant,0.256,25.9,0,[FAST MODE - HIGH CONF],142.22,left
1576,potted plant,0.259,27.76,0,[FAST MODE - HIGH CONF],129.26,left
1577,chair,0.295,11.74,0,[FAST MODE - HIGH CONF],139.46,left
1578,potted plant,0.296,26.41,0,[FAST MODE - HIGH CONF],127.37,left
1579,potted plant,0.302,27.29,0,[FAST MODE - HIGH CONF],115.17,left
1580,potted plant,0.329,27.29,0,[FAST MODE - HIGH CONF],129.61,left
1581,potted plant,0.261,27.89,0,[FAST MODE - HIGH CONF],142.35,left
1582,dining table,0.256,11.66,0,[FAST MODE - HIGH CONF],151.15,left
1583,bench,0.411,16.61,0,[FAST MODE - HIGH CONF],163.2,left
1584,bench,0.29,16.38,0,[FAST MODE - HIGH CONF],129.88,left
1585,potted plant,0.265,21.59,0,[FAST MODE - HIGH CONF],130.35,left
1586,chair,0.489,12.01,0,[FAST MODE - HIGH CONF],146.86,left
1587,potted plant,0.256,23.71,0,[FAST MODE - HIGH CONF],149.65,left
1588,potted plant,0.251,23.41,0,[FAST MODE - HIGH CONF],161.2,left
1589,potted plant,0.301,23.94,0,[FAST MODE - HIGH CONF],170.41,left
1590,potted plant,0.284,24.63,0,[FAST MODE - HIGH CONF],162.68,left
1591,potted plant,0.25,25.23,0,[FAST MODE - HIGH CONF],173.17,left
1592,potted plant,0.306,25.31,0,[FAST MODE - HIGH CONF],129.55,left
1593,potted plant,0.337,23.46,0,[FAST MODE - HIGH CONF],135.42,left
1594,potted plant,0.26,24.39,0,[FAST MODE - HIGH CONF],133.6,left
1595,potted plant,0.252,26.47,0,[FAST MODE - HIGH CONF],151.76,left
1596,potted plant,0.299,26.82,0,[FAST MODE - HIGH CONF],150.36,left
1597,person,0.356,26.4,0,[FAST MODE - HIGH CONF],147.84,left
1598,car,0.271,24.38,0,[FAST MODE - HIGH CONF],154.38,right
1599,car,0.323,24.4,0,[FAST MODE - HIGH CONF],164.3,right
1600,car,0.26,25.06,0,[FAST MODE - HIGH CONF],182.99,right
1601,car,0.291,26.2,0,[FAST MODE - HIGH CONF],149.42,right
1602,potted plant,0.282,24.36,0,[FAST MODE - HIGH CONF],169.08,left
1603,car,0.281,25.5,0,[FAST MODE - HIGH CONF],165.46,right
1604,potted plant,0.269,27.04,0,[FAST MODE - HIGH CONF],244.45,left
1605,chair,0.698,15.53,0,[FAST MODE - HIGH CONF],148.73,left
1606,chair,0.51,10.62,0,[FAST MODE - HIGH CONF],163.9,left
1607,chair,0.637,12.02,0,[FAST MODE - HIGH CONF],163.4,left
1608,chair,0.275,14.16,0,[FAST MODE - HIGH CONF],165.88,left
