frame,object_name,yolo_confidence,depth_ft,used_vlm,output_text,latency_ms,direction
46,person,0.378,27.21,1,,312.94,none
47,person,0.251,25.98,1,,309.07,none
48,clock,0.273,20.79,1,,308.44,none
49,person,0.318,27.92,1,,301.92,none
50,person,0.265,27.63,1,,331.54,none
51,person,0.251,28.49,1,,322.84,none
52,person,0.278,28.74,1,,322.49,none
53,person,0.251,27.3,1,,338.89,none
54,person,0.25,27.11,1,,325.04,none
55,person,0.252,24.09,1,,318.64,none
56,clock,0.461,20.95,1,,325.41,none
57,clock,0.375,21.62,1,,319.23,none
58,bench,0.281,25.32,1,,322.92,none
59,person,0.25,27.32,1,,320.2,none
60,potted plant,0.502,27.75,1,,320.88,none
61,person,0.258,28.81,1,,319.6,none
62,person,0.253,28.44,1,,312.93,none
63,person,0.251,29.49,1,,320.11,none
64,person,0.288,28.72,1,,314.54,none
65,person,0.285,29.28,1,,324.19,none
66,person,0.292,29.16,1,,321.22,none
67,person,0.28,29.53,1,,311.56,none
68,person,0.264,29.75,1,,318.05,none
69,person,0.263,24.49,1,,317.86,none
70,person,0.307,29.39,1,,316.56,none
71,person,0.28,29.67,1,,325.83,none
72,potted plant,0.255,28.9,1,,311.38,none
73,person,0.322,29.68,1,,310.48,none
74,person,0.3,26.94,1,,321.29,none
75,person,0.268,29.14,1,,315.32,none
76,person,0.261,27.33,1,,327.73,none
77,person,0.257,29.41,1,,325.75,none
78,potted plant,0.306,24.3,1,,318.18,none
79,potted plant,0.357,23.94,1,,312.09,none
80,person,0.253,29.48,1,,316.93,none
81,person,0.295,28.28,1,,303.43,none
82,person,0.269,28.89,1,,309.24,none
83,clock,0.252,21.01,1,,303.88,none
84,potted plant,0.34,23.65,1,,309.01,none
85,potted plant,0.288,28.94,1,,302.99,none
86,potted plant,0.29,29.01,1,,303.58,none
87,potted plant,0.274,29.51,1,,310.84,none
88,potted plant,0.252,29.84,1,,302.65,none
89,person,0.272,27.4,1,,315.97,none
90,person,0.27,27.82,1,,318.05,none
91,person,0.406,28.42,1,,311.28,none
92,person,0.444,29.36,1,,300.94,none
93,potted plant,0.448,23.95,1,,304.79,none
94,potted plant,0.413,24.34,1,,316.31,none
95,person,0.314,29.02,1,,312.6,none
96,person,0.263,26.99,1,,309.58,none
97,person,0.328,28.27,1,,329.74,none
98,person,0.385,28.57,1,,323.43,none
99,potted plant,0.373,24.48,1,,330.54,none
100,potted plant,0.373,23.87,1,,332.06,none
101,potted plant,0.4,24.05,1,,315.14,none
102,person,0.291,26.67,1,,311.71,none
103,potted plant,0.252,29.03,1,,333.07,none
104,potted plant,0.279,29.35,1,,333.41,none
105,potted plant,0.267,29.62,1,,337.58,none
106,person,0.267,29.92,1,,358.18,none
107,potted plant,0.275,29.48,1,,353.51,none
108,potted plant,0.251,29.49,1,,354.81,none
109,potted plant,0.325,26.04,1,,336.31,none
110,potted plant,0.26,29.95,1,,348.35,none
111,potted plant,0.257,29.93,1,,347.77,none
112,potted plant,0.265,30.52,1,,354.26,none
113,bench,0.282,27.91,1,,347.85,none
114,potted plant,0.273,28.27,1,,345.61,none
115,potted plant,0.263,28.63,1,,341.86,none
116,potted plant,0.254,28.47,1,,334.73,none
117,potted plant,0.268,29.61,1,,315.94,none
118,potted plant,0.257,30.3,1,,331.44,none
119,person,0.259,28.87,1,,340.78,none
120,person,0.251,30.09,1,,318.51,none
121,person,0.251,31.52,1,,328.22,none
122,potted plant,0.26,29.43,1,,338.28,none
123,potted plant,0.262,26.36,1,,346.3,none
124,potted plant,0.262,29.67,1,,332.07,none
125,potted plant,0.258,29.47,1,,381.77,none
126,potted plant,0.26,29.24,1,,325.15,none
127,potted plant,0.253,29.13,1,,350.59,none
128,bench,0.279,16.33,1,,349.43,none
129,potted plant,0.258,29.34,1,,341.88,none
130,potted plant,0.268,25.8,1,,339.38,none
131,potted plant,0.267,26.24,1,,344.33,none
132,potted plant,0.365,29.47,1,,350.49,none
133,potted plant,0.253,26.24,1,,338.0,none
134,person,0.259,28.3,1,,334.01,none
135,potted plant,0.27,26.19,1,,328.95,none
136,potted plant,0.291,26.42,1,,330.14,none
137,potted plant,0.256,29.77,1,,342.62,none
138,potted plant,0.262,26.34,1,,336.03,none
139,potted plant,0.258,26.12,1,,336.41,none
140,potted plant,0.251,26.51,1,,336.86,none
141,potted plant,0.254,25.86,1,,333.82,none
142,potted plant,0.254,29.93,1,,335.99,none
