frame,object_name,yolo_confidence,depth_ft,used_vlm,output_text,latency_ms,direction
48,clock,0.273,20.79,0,,309.61,none
49,person,0.318,27.92,0,,330.97,none
50,person,0.265,27.63,0,,338.78,none
51,person,0.251,28.49,0,,321.79,none
52,person,0.278,28.74,0,,322.04,none
53,person,0.251,27.3,0,,334.06,none
54,person,0.25,27.11,0,,328.29,none
55,person,0.252,24.09,0,,333.19,none
56,clock,0.461,20.95,0,,335.08,none
57,clock,0.375,21.62,0,,333.31,none
58,bench,0.281,25.32,0,,332.62,none
59,person,0.25,27.32,0,,329.59,none
60,potted plant,0.502,27.75,0,,332.11,none
61,person,0.258,28.81,0,,332.97,none
62,person,0.253,28.44,0,,333.58,none
63,person,0.251,29.49,0,,330.82,none
64,person,0.288,28.72,0,,331.4,none
65,person,0.285,29.28,0,,334.61,none
66,person,0.292,29.16,0,,333.58,none
67,person,0.28,29.53,0,,337.85,none
68,person,0.264,29.75,0,,333.74,none
69,person,0.263,24.49,0,,335.71,none
70,person,0.307,29.39,0,,331.84,none
71,person,0.28,29.67,0,,341.49,none
72,potted plant,0.255,28.9,0,,317.92,none
73,person,0.322,29.68,0,,334.52,none
74,person,0.3,26.94,0,,348.85,none
75,person,0.268,29.14,0,,332.97,none
76,person,0.261,27.33,0,,343.78,none
77,person,0.257,29.41,0,,341.85,none
78,potted plant,0.306,24.3,0,,334.43,none
79,potted plant,0.357,23.94,0,,329.23,none
80,person,0.253,29.48,0,,337.29,none
81,person,0.295,28.28,0,,324.22,none
82,person,0.269,28.89,0,,324.01,none
83,clock,0.252,21.01,0,,321.87,none
84,potted plant,0.34,23.65,0,,321.75,none
85,potted plant,0.288,28.94,0,,324.08,none
86,potted plant,0.29,29.01,0,,319.21,none
87,potted plant,0.274,29.51,0,,339.2,none
88,potted plant,0.252,29.84,0,,323.12,none
89,person,0.272,27.4,0,,325.23,none
90,person,0.27,27.82,0,,333.79,none
91,person,0.406,28.42,0,,324.26,none
92,person,0.444,29.36,0,,323.36,none
93,potted plant,0.448,23.95,0,,319.73,none
94,potted plant,0.413,24.34,0,,338.47,none
95,person,0.314,29.02,0,,322.64,none
96,person,0.263,26.99,0,,325.21,none
97,person,0.328,28.27,0,,349.41,none
98,person,0.385,28.57,0,,347.12,none
99,potted plant,0.373,24.48,0,,353.16,none
100,potted plant,0.373,23.87,0,,354.4,none
101,potted plant,0.4,24.05,0,,330.69,none
102,person,0.291,26.67,0,,332.74,none
103,potted plant,0.252,29.03,0,,341.21,none
104,potted plant,0.279,29.35,0,,356.24,none
105,potted plant,0.267,29.62,0,,356.46,none
106,person,0.267,29.92,0,,367.92,none
107,potted plant,0.275,29.48,0,,368.71,none
108,potted plant,0.251,29.49,0,,372.55,none
109,potted plant,0.325,26.04,0,,361.66,none
110,potted plant,0.26,29.95,0,,365.15,none
111,potted plant,0.257,29.93,0,,369.84,none
112,potted plant,0.265,30.52,0,,385.17,none
113,bench,0.282,27.91,0,,371.19,none
114,potted plant,0.273,28.27,0,,369.78,none
115,potted plant,0.263,28.63,0,,358.24,none
116,potted plant,0.254,28.47,0,,352.83,none
117,potted plant,0.268,29.61,0,,338.76,none
118,potted plant,0.257,30.3,0,,361.75,none
119,person,0.259,28.87,0,,355.97,none
120,person,0.251,30.09,0,,345.08,none
121,person,0.251,31.52,0,,347.68,none
122,potted plant,0.26,29.43,0,,366.61,none
123,potted plant,0.262,26.36,0,,374.46,none
124,potted plant,0.262,29.67,0,,365.68,none
125,potted plant,0.258,29.47,0,,406.51,none
126,potted plant,0.26,29.24,0,,349.7,none
127,potted plant,0.253,29.13,0,,363.58,none
128,bench,0.279,16.33,0,,372.52,none
129,potted plant,0.258,29.34,0,,353.79,none
130,potted plant,0.268,25.8,0,,349.15,none
131,potted plant,0.267,26.24,0,,387.02,none
132,potted plant,0.365,29.47,0,,359.32,none
133,potted plant,0.253,26.24,0,,350.42,none
134,person,0.259,28.3,0,,359.8,none
135,potted plant,0.27,26.19,0,,361.73,none
136,potted plant,0.291,26.42,0,,359.21,none
137,potted plant,0.256,29.77,0,,354.03,none
138,potted plant,0.262,26.34,0,,355.76,none
139,potted plant,0.258,26.12,0,,353.72,none
140,potted plant,0.251,26.51,0,,361.61,none
141,potted plant,0.254,25.86,0,,346.62,none
142,potted plant,0.254,29.93,0,,359.14,none
